n,date,day-week,day-month,val,weekend,holiday,sequia,,,,,,,,,,,,,,,,,
261,18/9/2007,martes,18,1937.53,0,0,1,,,,,,,,,,,,,,,,,
262,19/9/2007,miércoles,19,2323.57,0,0,1,,,,,,,,,,,,,,,,,
263,20/9/2007,jueves,20,2333.97,0,0,1,,,,,,,,,,,,,,,,,
264,21/9/2007,viernes,21,2119.66,0,0,1,,,,,,,,,,,,,,,,,
265,22/9/2007,sábado,22,2046.40,1,0,1,,,,,,,,,,,,,,,,,
266,23/9/2007,domingo,23,1995.29,1,0,1,,,,,,,,,,,,,,,,,
267,24/9/2007,lunes,24,1844.17,0,0,1,,,,,,,,,,,,,,,,,
268,25/9/2007,martes,25,2054.25,0,0,1,,,,,,,,,,,,,,,,,
269,26/9/2007,miércoles,26,1916.28,0,0,1,,,,,,,,,,,,,,,,,
270,27/9/2007,jueves,27,1937.61,0,0,1,,,,,,,,,,,,,,,,,
271,28/9/2007,viernes,28,2003.04,0,0,1,,,,,,,,,,,,,,,,,
272,29/9/2007,sábado,29,1996.66,1,0,1,,,,,,,,,,,,,,,,,
273,30/9/2007,domingo,30,1898.25,1,0,1,,,,,,,,,,,,,,,,,
274,1/10/2007,lunes,1,1946.90,0,0,0,,,,,,,,,,,,,,,,,
275,2/10/2007,martes,2,1982.56,0,0,0,,,,,,,,,,,,,,,,,
276,3/10/2007,miércoles,3,2120.62,0,0,0,,,,,,,,,,,,,,,,,
277,4/10/2007,jueves,4,1938.84,0,0,0,,,,,,,,,,,,,,,,,
278,5/10/2007,viernes,5,1962.51,0,0,0,,,,,,,,,,,,,,,,,
279,6/10/2007,sábado,6,2051.53,1,0,0,,,,,,,,,,,,,,,,,
280,7/10/2007,domingo,7,2386.81,1,0,0,,,,,,,,,,,,,,,,,
281,8/10/2007,lunes,8,1881.13,0,0,0,,,,,,,,,,,,,,,,,
282,9/10/2007,martes,9,1769.89,0,1,0,,,,,,,,,,,,,,,,,
283,10/10/2007,miércoles,10,1873.84,0,0,0,,,,,,,,,,,,,,,,,
284,11/10/2007,jueves,11,1890.19,0,0,0,,,,,,,,,,,,,,,,,
